snapshot_date,snapshot_timestamp_utc,lerobot_github_stars,hf_lerobot_dataset_count,hf_unique_dataset_uploaders,github_topic_robotics_repo_count,github_topic_lerobot_repo_count
2026-02-06,2026-02-06T04:32:59+00:00,21454,999,208,14592,62
2026-02-06,2026-02-06T04:52:37+00:00,21454,999,208,14592,62
2026-02-06,2026-02-06T04:54:52+00:00,21454,999,208,14592,62
2026-02-09,2026-02-09T09:59:43+00:00,21523,999,206,14639,62
2026-02-16,2026-02-16T09:50:39+00:00,21635,999,211,14716,65
2026-02-23,2026-02-23T09:51:58+00:00,21725,999,210,14832,68
2026-03-02,2026-03-02T09:44:18+00:00,21906,999,211,14968,74
2026-03-09,2026-03-09T09:45:24+00:00,22123,999,206,15093,77
2026-03-16,2026-03-16T10:03:08+00:00,22347,999,209,15267,80
2026-03-23,2026-03-23T09:58:47+00:00,22584,999,211,15441,81
2026-03-30,2026-03-30T10:14:05+00:00,22769,999,212,15616,84
2026-04-06,2026-04-06T10:06:14+00:00,22963,999,210,15783,88
2026-04-13,2026-04-13T10:29:22+00:00,23175,999,208,15964,92
2026-04-20,2026-04-20T10:44:34+00:00,23381,999,209,16116,97
2026-04-27,2026-04-27T10:59:49+00:00,23582,999,210,16260,100
2026-05-04,2026-05-04T11:02:55+00:00,23726,999,207,16475,106
2026-05-11,2026-05-11T12:07:53+00:00,23928,999,211,16704,113
2026-05-18,2026-05-18T12:25:56+00:00,24107,999,211,16920,119
2026-05-25,2026-05-25T12:25:57+00:00,24331,999,209,17132,129
